method,granularity,TEST_GLOBAL_PROP_COVERED,TEST_GLOBAL_PROP_EXPLAINED,TEST_GLOBAL_TIME,TEST_GLOBAL_ED1_CONCISENESS,TEST_GLOBAL_ED1_NORM_CONSISTENCY,TEST_GLOBAL_ED1_PRECISION,TEST_GLOBAL_ED1_RECALL,TEST_GLOBAL_ED1_F1_SCORE,TEST_BURSTY_INPUT_PROP_COVERED,TEST_BURSTY_INPUT_PROP_EXPLAINED,TEST_BURSTY_INPUT_TIME,TEST_BURSTY_INPUT_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED1_PRECISION,TEST_BURSTY_INPUT_ED1_RECALL,TEST_BURSTY_INPUT_ED1_F1_SCORE,TEST_BURSTY_INPUT_ED2_CONCISENESS,TEST_BURSTY_INPUT_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED2_PRECISION,TEST_BURSTY_INPUT_ED2_RECALL,TEST_BURSTY_INPUT_ED2_F1_SCORE,TEST_BURSTY_INPUT_CRASH_PROP_COVERED,TEST_BURSTY_INPUT_CRASH_PROP_EXPLAINED,TEST_BURSTY_INPUT_CRASH_TIME,TEST_BURSTY_INPUT_CRASH_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED1_PRECISION,TEST_BURSTY_INPUT_CRASH_ED1_RECALL,TEST_BURSTY_INPUT_CRASH_ED1_F1_SCORE,TEST_BURSTY_INPUT_CRASH_ED2_CONCISENESS,TEST_BURSTY_INPUT_CRASH_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED2_PRECISION,TEST_BURSTY_INPUT_CRASH_ED2_RECALL,TEST_BURSTY_INPUT_CRASH_ED2_F1_SCORE,TEST_STALLED_INPUT_PROP_COVERED,TEST_STALLED_INPUT_PROP_EXPLAINED,TEST_STALLED_INPUT_TIME,TEST_STALLED_INPUT_ED1_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED1_PRECISION,TEST_STALLED_INPUT_ED1_RECALL,TEST_STALLED_INPUT_ED1_F1_SCORE,TEST_STALLED_INPUT_ED2_CONCISENESS,TEST_STALLED_INPUT_ED2_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED2_PRECISION,TEST_STALLED_INPUT_ED2_RECALL,TEST_STALLED_INPUT_ED2_F1_SCORE,TEST_CPU_CONTENTION_PROP_COVERED,TEST_CPU_CONTENTION_PROP_EXPLAINED,TEST_CPU_CONTENTION_TIME,TEST_CPU_CONTENTION_ED1_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED1_PRECISION,TEST_CPU_CONTENTION_ED1_RECALL,TEST_CPU_CONTENTION_ED1_F1_SCORE,TEST_CPU_CONTENTION_ED2_CONCISENESS,TEST_CPU_CONTENTION_ED2_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED2_PRECISION,TEST_CPU_CONTENTION_ED2_RECALL,TEST_CPU_CONTENTION_ED2_F1_SCORE,TEST_DRIVER_FAILURE_PROP_COVERED,TEST_DRIVER_FAILURE_PROP_EXPLAINED,TEST_DRIVER_FAILURE_TIME,TEST_DRIVER_FAILURE_ED1_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED1_PRECISION,TEST_DRIVER_FAILURE_ED1_RECALL,TEST_DRIVER_FAILURE_ED1_F1_SCORE,TEST_DRIVER_FAILURE_ED2_CONCISENESS,TEST_DRIVER_FAILURE_ED2_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED2_PRECISION,TEST_DRIVER_FAILURE_ED2_RECALL,TEST_DRIVER_FAILURE_ED2_F1_SCORE,TEST_EXECUTOR_FAILURE_PROP_COVERED,TEST_EXECUTOR_FAILURE_PROP_EXPLAINED,TEST_EXECUTOR_FAILURE_TIME,TEST_EXECUTOR_FAILURE_ED1_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED1_PRECISION,TEST_EXECUTOR_FAILURE_ED1_RECALL,TEST_EXECUTOR_FAILURE_ED1_F1_SCORE,TEST_EXECUTOR_FAILURE_ED2_CONCISENESS,TEST_EXECUTOR_FAILURE_ED2_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED2_PRECISION,TEST_EXECUTOR_FAILURE_ED2_RECALL,TEST_EXECUTOR_FAILURE_ED2_F1_SCORE,TEST_UNKNOWN_PROP_COVERED,TEST_UNKNOWN_PROP_EXPLAINED,TEST_UNKNOWN_TIME,TEST_UNKNOWN_ED1_NORM_CONSISTENCY,TEST_UNKNOWN_ED1_PRECISION,TEST_UNKNOWN_ED1_RECALL,TEST_UNKNOWN_ED1_F1_SCORE,TEST_UNKNOWN_ED2_CONCISENESS,TEST_UNKNOWN_ED2_NORM_CONSISTENCY,TEST_UNKNOWN_ED2_PRECISION,TEST_UNKNOWN_ED2_RECALL,TEST_UNKNOWN_ED2_F1_SCORE
Lime,global,1.0,1.0,1.0,5.0,2.0999374574993364,,,,1.0,1.0,1.0,1.662555949389245,,,,5.0,2.15234453425828,,,,1.0,1.0,1.0,2.103696977623524,,,,5.0,2.413191526556716,,,,1.0,1.0,1.0,2.4445768420639844,,,,5.0,3.224671951267389,,,,1.0,1.0,1.0,1.93804696008902,,,,5.0,2.5637860301237243,,,,1.0,1.0,1.0,2.6954103953821007,,,,5.0,2.444699831274733,,,,1.0,1.0,1.0,2.253877961176297,,,,5.0,2.6947479004383323,,,,1.0,1.0,1.0,2.342299083516141,,,,5.0,2.3970694777936754,,,
Lime,app1,1.0,1.0,1.0,5.0,1.9808914037918384,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.7815794928078912,,,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.966658336724869,,,,5.0,2.0030027273118787,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.464913628161552,,,,5.0,,,,,1.0,1.0,1.0,1.7815794928078912,,,,5.0,,,,
Lime,1_2_100000_68,1.0,1.0,1.0,5.0,1.94930704812782,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.94930704812782,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime,1_5_1000000_86,1.0,1.0,1.0,5.0,2.0936520005053647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.2836500622948512,,,,5.0,,,,,1.0,1.0,1.0,1.9036539387158784,,,,5.0,,,,
Lime,1_4_1000000_80,1.0,1.0,1.0,5.0,1.9202181838274308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.9202181838274308,,,,5.0,1.87948161377724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime,trace_avg,1.0,1.0,1.0,5.0,2.016332425825163,,,,1.0,1.0,1.0,1.4941706919227622,,,,5.0,1.5273585051167038,,,,1.0,1.0,1.0,2.0103777779473138,,,,5.0,,,,,1.0,1.0,1.0,2.337923129619214,,,,5.0,2.251277388363528,,,,1.0,1.0,1.0,1.8861071925829984,,,,5.0,1.9924399430281057,,,,1.0,1.0,1.0,2.347984925316493,,,,5.0,,,,,1.0,1.0,1.0,2.1207003651620746,,,,5.0,1.416401074100057,,,,1.0,1.0,1.0,2.110041611693988,,,,5.0,1.5157165665103984,,,
Lime,app2,1.0,1.0,1.0,5.0,2.097536053247096,,,,1.0,1.0,1.0,1.4962798358807037,,,,5.0,1.2899528499999011,,,,1.0,1.0,1.0,1.9089321915994888,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.812265094918275,,,,5.0,,,,,1.0,1.0,1.0,2.354109837223874,,,,5.0,2.00180762083185,,,,1.0,1.0,1.0,2.605458173392368,,,,5.0,,,,
Lime,2_1_100000_60,1.0,1.0,1.0,5.0,1.2886122233777482,,,,1.0,1.0,1.0,1.2886122233777482,,,,5.0,1.2457309396155176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime,2_2_200000_69,1.0,1.0,1.0,5.0,2.1040323067594646,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.1040323067594646,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime,2_5_1000000_88,1.0,1.0,1.0,5.0,2.3852155227638487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.1098661478607807,,,,5.0,,,,,1.0,1.0,1.0,2.6605648976669167,,,,5.0,,,,
Lime,2_5_1000000_87,1.0,1.0,1.0,5.0,2.1538283487208907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.805959896943346,,,,5.0,,,,,1.0,1.0,1.0,2.327762574609663,,,,5.0,1.3195079107728944,,,,,,,,,,,,,,,
Lime,app3,1.0,1.0,1.0,5.0,2.086088068108599,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.7302681117761076,,,,5.0,1.5157165665103984,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.6054581733923654,,,,5.0,,,,,1.0,1.0,1.0,2.641113120859916,,,,5.0,,,,,1.0,1.0,1.0,1.800966365441455,,,,5.0,,,,,1.0,1.0,1.0,2.0472712967571205,,,,5.0,1.3195079107728944,,,
