method,granularity,TEST_GLOBAL_PROP_COVERED,TEST_GLOBAL_PROP_EXPLAINED,TEST_GLOBAL_TIME,TEST_GLOBAL_ED1_CONCISENESS,TEST_GLOBAL_ED1_NORM_CONSISTENCY,TEST_GLOBAL_ED1_PRECISION,TEST_GLOBAL_ED1_RECALL,TEST_GLOBAL_ED1_F1_SCORE,TEST_BURSTY_INPUT_PROP_COVERED,TEST_BURSTY_INPUT_PROP_EXPLAINED,TEST_BURSTY_INPUT_TIME,TEST_BURSTY_INPUT_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED1_PRECISION,TEST_BURSTY_INPUT_ED1_RECALL,TEST_BURSTY_INPUT_ED1_F1_SCORE,TEST_BURSTY_INPUT_ED2_CONCISENESS,TEST_BURSTY_INPUT_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED2_PRECISION,TEST_BURSTY_INPUT_ED2_RECALL,TEST_BURSTY_INPUT_ED2_F1_SCORE,TEST_BURSTY_INPUT_CRASH_PROP_COVERED,TEST_BURSTY_INPUT_CRASH_PROP_EXPLAINED,TEST_BURSTY_INPUT_CRASH_TIME,TEST_BURSTY_INPUT_CRASH_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED1_PRECISION,TEST_BURSTY_INPUT_CRASH_ED1_RECALL,TEST_BURSTY_INPUT_CRASH_ED1_F1_SCORE,TEST_BURSTY_INPUT_CRASH_ED2_CONCISENESS,TEST_BURSTY_INPUT_CRASH_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED2_PRECISION,TEST_BURSTY_INPUT_CRASH_ED2_RECALL,TEST_BURSTY_INPUT_CRASH_ED2_F1_SCORE,TEST_STALLED_INPUT_PROP_COVERED,TEST_STALLED_INPUT_PROP_EXPLAINED,TEST_STALLED_INPUT_TIME,TEST_STALLED_INPUT_ED1_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED1_PRECISION,TEST_STALLED_INPUT_ED1_RECALL,TEST_STALLED_INPUT_ED1_F1_SCORE,TEST_STALLED_INPUT_ED2_CONCISENESS,TEST_STALLED_INPUT_ED2_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED2_PRECISION,TEST_STALLED_INPUT_ED2_RECALL,TEST_STALLED_INPUT_ED2_F1_SCORE,TEST_CPU_CONTENTION_PROP_COVERED,TEST_CPU_CONTENTION_PROP_EXPLAINED,TEST_CPU_CONTENTION_TIME,TEST_CPU_CONTENTION_ED1_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED1_PRECISION,TEST_CPU_CONTENTION_ED1_RECALL,TEST_CPU_CONTENTION_ED1_F1_SCORE,TEST_CPU_CONTENTION_ED2_CONCISENESS,TEST_CPU_CONTENTION_ED2_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED2_PRECISION,TEST_CPU_CONTENTION_ED2_RECALL,TEST_CPU_CONTENTION_ED2_F1_SCORE,TEST_DRIVER_FAILURE_PROP_COVERED,TEST_DRIVER_FAILURE_PROP_EXPLAINED,TEST_DRIVER_FAILURE_TIME,TEST_DRIVER_FAILURE_ED1_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED1_PRECISION,TEST_DRIVER_FAILURE_ED1_RECALL,TEST_DRIVER_FAILURE_ED1_F1_SCORE,TEST_DRIVER_FAILURE_ED2_CONCISENESS,TEST_DRIVER_FAILURE_ED2_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED2_PRECISION,TEST_DRIVER_FAILURE_ED2_RECALL,TEST_DRIVER_FAILURE_ED2_F1_SCORE,TEST_EXECUTOR_FAILURE_PROP_COVERED,TEST_EXECUTOR_FAILURE_PROP_EXPLAINED,TEST_EXECUTOR_FAILURE_TIME,TEST_EXECUTOR_FAILURE_ED1_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED1_PRECISION,TEST_EXECUTOR_FAILURE_ED1_RECALL,TEST_EXECUTOR_FAILURE_ED1_F1_SCORE,TEST_EXECUTOR_FAILURE_ED2_CONCISENESS,TEST_EXECUTOR_FAILURE_ED2_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED2_PRECISION,TEST_EXECUTOR_FAILURE_ED2_RECALL,TEST_EXECUTOR_FAILURE_ED2_F1_SCORE,TEST_UNKNOWN_PROP_COVERED,TEST_UNKNOWN_PROP_EXPLAINED,TEST_UNKNOWN_TIME,TEST_UNKNOWN_ED1_NORM_CONSISTENCY,TEST_UNKNOWN_ED1_PRECISION,TEST_UNKNOWN_ED1_RECALL,TEST_UNKNOWN_ED1_F1_SCORE,TEST_UNKNOWN_ED2_CONCISENESS,TEST_UNKNOWN_ED2_NORM_CONSISTENCY,TEST_UNKNOWN_ED2_PRECISION,TEST_UNKNOWN_ED2_RECALL,TEST_UNKNOWN_ED2_F1_SCORE
TEMPC_gt,global,1.0,0.8928571428571429,73.14666666666666,4.4,1.0441642742583424,,,,1.0,1.0,74.35,1.0,,,,5.55,1.627140319898304,,,,1.0,1.0,143.0,1.0,,,,7.142857142857143,1.5427310195973616,,,,1.0,1.0,64.5,1.0,,,,3.25,1.8472348648610468,,,,1.0,1.0,62.15,1.0,,,,4.1,2.6440441467825155,,,,1.0,0.2857142857142857,1.0,1.689207115002721,,,,1.5,2.0,,,,1.0,0.625,154.2,1.3867812678740452,,,,3.0,2.1017662994383524,,,,1.0,0.9,23.11111111111111,1.0,,,,3.333333333333333,2.7329606808371745,,,
TEMPC_gt,app1,1.0,0.8888888888888888,70.5,5.5,1.0,,,,,,,,,,,,,,,,1.0,1.0,156.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,1.0,1.0,62.5,1.0,,,,5.166666666666667,1.7430341152882969,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,1.0,1.0,33.0,0.9999999999999998,,,,7.0,,,,
TEMPC_gt,1_4_1000000_80,1.0,1.0,62.5,5.166666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,62.5,1.0,,,,5.166666666666667,1.7430341152882969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPC_gt,1_2_100000_68,1.0,1.0,156.0,6.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,156.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPC_gt,1_5_1000000_86,1.0,0.5,33.0,7.0,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,1.0,1.0,33.0,0.9999999999999998,,,,7.0,,,,
TEMPC_gt,trace_avg,0.9666666666666668,0.862657982703213,96.04660324582908,4.8578750327275735,1.0449225773418127,,,,1.0,1.0,77.22716049382717,1.0,,,,5.53395061728395,1.2940306842815568,,,,1.0,1.0,138.23257275132275,1.0,,,,7.078505291005291,,,,,1.0,1.0,64.41666666666667,1.0,,,,3.333333333333333,1.3036840794594746,,,,1.0,1.0,59.59340277777778,1.0,,,,4.08599537037037,2.177314099683124,,,,1.0,0.2930555555555555,0.2930555555555555,2.9016045291413115,,,,1.4938271604938274,,,,,1.0,0.5815334467120181,123.59092970521542,1.0,,,,3.1412500000000003,1.148698354997035,,,,1.0,0.9,21.90164021164021,1.0,,,,3.5047178130511463,2.0,,,
TEMPC_gt,app2,1.0,0.6666666666666666,169.5,5.333333333333333,1.0,,,,1.0,1.0,66.33333333333333,1.0,,,,5.666666666666667,1.1735435034073207,,,,1.0,1.0,112.0,0.9999999999999998,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,1.0,0.3333333333333333,672.0,1.0,,,,4.0,,,,,1.0,1.0,34.0,1.0,,,,4.0,,,,
TEMPC_gt,2_1_100000_60,1.0,1.0,66.33333333333333,5.666666666666667,1.0,,,,1.0,1.0,66.33333333333333,1.0,,,,5.666666666666667,1.1735435034073207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPC_gt,2_2_200000_69,1.0,1.0,112.0,7.0,0.9999999999999998,,,,,,,,,,,,,,,,1.0,1.0,112.0,0.9999999999999998,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEMPC_gt,2_5_1000000_88,1.0,0.5,34.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,1.0,1.0,34.0,1.0,,,,4.0,,,,
TEMPC_gt,2_5_1000000_87,1.0,0.3333333333333333,672.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,1.0,0.5,672.0,1.0,,,,4.0,,,,,,,,,,,,,,,,
TEMPC_gt,app3,1.0,1.0,23.571428571428573,3.7142857142857135,1.5366897800015549,,,,,,,,,,,,,,,,1.0,1.0,42.5,1.0,,,,6.0,1.1224620483093728,,,,,,,,,,,,,,,,1.0,1.0,46.0,1.0,,,,4.0,,,,,1.0,1.0,1.0,4.756828460010884,,,,1.0,,,,,1.0,1.0,12.0,1.0,,,,4.0,,,,,1.0,1.0,10.5,1.0,,,,2.5,1.5157165665103982,,,
