method,granularity,TEST_GLOBAL_PROP_COVERED,TEST_GLOBAL_PROP_EXPLAINED,TEST_GLOBAL_TIME,TEST_GLOBAL_ED1_CONCISENESS,TEST_GLOBAL_ED1_NORM_CONSISTENCY,TEST_GLOBAL_ED1_PRECISION,TEST_GLOBAL_ED1_RECALL,TEST_GLOBAL_ED1_F1_SCORE,TEST_BURSTY_INPUT_PROP_COVERED,TEST_BURSTY_INPUT_PROP_EXPLAINED,TEST_BURSTY_INPUT_TIME,TEST_BURSTY_INPUT_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED1_PRECISION,TEST_BURSTY_INPUT_ED1_RECALL,TEST_BURSTY_INPUT_ED1_F1_SCORE,TEST_BURSTY_INPUT_ED2_CONCISENESS,TEST_BURSTY_INPUT_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_ED2_PRECISION,TEST_BURSTY_INPUT_ED2_RECALL,TEST_BURSTY_INPUT_ED2_F1_SCORE,TEST_BURSTY_INPUT_CRASH_PROP_COVERED,TEST_BURSTY_INPUT_CRASH_PROP_EXPLAINED,TEST_BURSTY_INPUT_CRASH_TIME,TEST_BURSTY_INPUT_CRASH_ED1_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED1_PRECISION,TEST_BURSTY_INPUT_CRASH_ED1_RECALL,TEST_BURSTY_INPUT_CRASH_ED1_F1_SCORE,TEST_BURSTY_INPUT_CRASH_ED2_CONCISENESS,TEST_BURSTY_INPUT_CRASH_ED2_NORM_CONSISTENCY,TEST_BURSTY_INPUT_CRASH_ED2_PRECISION,TEST_BURSTY_INPUT_CRASH_ED2_RECALL,TEST_BURSTY_INPUT_CRASH_ED2_F1_SCORE,TEST_STALLED_INPUT_PROP_COVERED,TEST_STALLED_INPUT_PROP_EXPLAINED,TEST_STALLED_INPUT_TIME,TEST_STALLED_INPUT_ED1_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED1_PRECISION,TEST_STALLED_INPUT_ED1_RECALL,TEST_STALLED_INPUT_ED1_F1_SCORE,TEST_STALLED_INPUT_ED2_CONCISENESS,TEST_STALLED_INPUT_ED2_NORM_CONSISTENCY,TEST_STALLED_INPUT_ED2_PRECISION,TEST_STALLED_INPUT_ED2_RECALL,TEST_STALLED_INPUT_ED2_F1_SCORE,TEST_CPU_CONTENTION_PROP_COVERED,TEST_CPU_CONTENTION_PROP_EXPLAINED,TEST_CPU_CONTENTION_TIME,TEST_CPU_CONTENTION_ED1_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED1_PRECISION,TEST_CPU_CONTENTION_ED1_RECALL,TEST_CPU_CONTENTION_ED1_F1_SCORE,TEST_CPU_CONTENTION_ED2_CONCISENESS,TEST_CPU_CONTENTION_ED2_NORM_CONSISTENCY,TEST_CPU_CONTENTION_ED2_PRECISION,TEST_CPU_CONTENTION_ED2_RECALL,TEST_CPU_CONTENTION_ED2_F1_SCORE,TEST_DRIVER_FAILURE_PROP_COVERED,TEST_DRIVER_FAILURE_PROP_EXPLAINED,TEST_DRIVER_FAILURE_TIME,TEST_DRIVER_FAILURE_ED1_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED1_PRECISION,TEST_DRIVER_FAILURE_ED1_RECALL,TEST_DRIVER_FAILURE_ED1_F1_SCORE,TEST_DRIVER_FAILURE_ED2_CONCISENESS,TEST_DRIVER_FAILURE_ED2_NORM_CONSISTENCY,TEST_DRIVER_FAILURE_ED2_PRECISION,TEST_DRIVER_FAILURE_ED2_RECALL,TEST_DRIVER_FAILURE_ED2_F1_SCORE,TEST_EXECUTOR_FAILURE_PROP_COVERED,TEST_EXECUTOR_FAILURE_PROP_EXPLAINED,TEST_EXECUTOR_FAILURE_TIME,TEST_EXECUTOR_FAILURE_ED1_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED1_PRECISION,TEST_EXECUTOR_FAILURE_ED1_RECALL,TEST_EXECUTOR_FAILURE_ED1_F1_SCORE,TEST_EXECUTOR_FAILURE_ED2_CONCISENESS,TEST_EXECUTOR_FAILURE_ED2_NORM_CONSISTENCY,TEST_EXECUTOR_FAILURE_ED2_PRECISION,TEST_EXECUTOR_FAILURE_ED2_RECALL,TEST_EXECUTOR_FAILURE_ED2_F1_SCORE,TEST_UNKNOWN_PROP_COVERED,TEST_UNKNOWN_PROP_EXPLAINED,TEST_UNKNOWN_TIME,TEST_UNKNOWN_ED1_NORM_CONSISTENCY,TEST_UNKNOWN_ED1_PRECISION,TEST_UNKNOWN_ED1_RECALL,TEST_UNKNOWN_ED1_F1_SCORE,TEST_UNKNOWN_ED2_CONCISENESS,TEST_UNKNOWN_ED2_NORM_CONSISTENCY,TEST_UNKNOWN_ED2_PRECISION,TEST_UNKNOWN_ED2_RECALL,TEST_UNKNOWN_ED2_F1_SCORE
LIME_gt,global,1.0,1.0,1.0,5.0,2.4744737544164925,,,,1.0,1.0,1.0,2.334479323448791,,,,5.0,2.907121628949414,,,,1.0,1.0,1.0,2.672939509644322,,,,5.0,2.651477213886724,,,,1.0,1.0,1.0,2.7639880495327023,,,,5.0,3.4415940485874104,,,,1.0,1.0,1.0,2.353917043353188,,,,5.0,3.185836685733098,,,,1.0,1.0,1.0,2.618630743298733,,,,5.0,3.446729633486118,,,,1.0,1.0,1.0,2.4346497021640863,,,,5.0,2.9595914793173645,,,,1.0,1.0,1.0,2.4401822052639344,,,,5.0,3.0781290671382293,,,
LIME_gt,app1,1.0,1.0,1.0,5.0,2.3879658963689647,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.8507501357637324,,,,5.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.254973104293828,,,,5.0,2.5009665029202885,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.911044905916432,,,,5.0,,,,,1.0,1.0,1.0,2.200059399877551,,,,5.0,,,,
LIME_gt,1_4_1000000_80,1.0,1.0,1.0,5.0,2.254973104293828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.254973104293828,,,,5.0,2.5009665029202885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIME_gt,1_2_100000_68,1.0,1.0,1.0,5.0,2.8507501357637324,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.8507501357637324,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIME_gt,1_5_1000000_86,1.0,1.0,1.0,5.0,2.555552152896992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.911044905916432,,,,5.0,,,,,1.0,1.0,1.0,2.200059399877551,,,,5.0,,,,
LIME_gt,trace_avg,1.0,1.0,1.0,5.0,2.516677300535071,,,,1.0,1.0,1.0,2.327169862994415,,,,5.0,2.007598752154653,,,,1.0,1.0,1.0,2.6705222944155707,,,,5.0,,,,,1.0,1.0,1.0,2.768691810849907,,,,5.0,2.494083040407024,,,,1.0,1.0,1.0,2.36822754024147,,,,5.0,2.4437556537881235,,,,1.0,1.0,1.0,2.6126471661595243,,,,5.0,,,,,1.0,1.0,1.0,2.3714320787972945,,,,5.0,1.741101126592249,,,,1.0,1.0,1.0,2.425657275486909,,,,5.0,1.3195079107728944,,,
LIME_gt,app2,1.0,1.0,1.0,5.0,2.440646115324034,,,,1.0,1.0,1.0,2.471830973054611,,,,5.0,1.6069341758900904,,,,1.0,1.0,1.0,2.605458173392368,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.2363501545072992,,,,5.0,,,,,1.0,1.0,1.0,2.442413834869999,,,,5.0,2.2735748497655983,,,,1.0,1.0,1.0,2.381272286242807,,,,5.0,,,,
LIME_gt,2_5_1000000_87,1.0,1.0,1.0,5.0,2.5157535044274675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.2363501545072992,,,,5.0,,,,,1.0,1.0,1.0,2.6554551793875514,,,,5.0,1.741101126592249,,,,,,,,,,,,,,,
LIME_gt,2_1_100000_60,1.0,1.0,1.0,5.0,2.471830973054611,,,,1.0,1.0,1.0,2.471830973054611,,,,5.0,1.6069341758900904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIME_gt,2_2_200000_69,1.0,1.0,1.0,5.0,2.605458173392368,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.605458173392368,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIME_gt,2_5_1000000_88,1.0,1.0,1.0,5.0,2.198801716038851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0163311458348945,,,,5.0,,,,,1.0,1.0,1.0,2.381272286242807,,,,5.0,,,,
LIME_gt,app3,1.0,1.0,1.0,5.0,2.4144998177608903,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.344132325968332,,,,5.0,1.5157165665103984,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.6411131208599183,,,,5.0,,,,,1.0,1.0,1.0,2.517047766047491,,,,5.0,,,,,1.0,1.0,1.0,1.844156838697422,,,,5.0,,,,,1.0,1.0,1.0,2.6054581733923667,,,,5.0,1.741101126592249,,,
