"","Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
"24078",2014-07-01,"84","78","71","71","68","65","90","78","65","29.98","29.91","29.85","10","10","10","30","15","38","0.00","5","","196<br />","New York City (USA)","Summer"
"24079",2014-07-02,"85","78","71","72","70","66","84","75","65","29.98","29.91","29.85","10","10","2","30","12","37","0.52","5","Rain-Thunderstorm","176<br />","New York City (USA)","Summer"
"24080",2014-07-03,"85","78","71","73","70","66","93","79","65","30.03","29.95","29.88","10","10","6","28","9","35","0.35","7","Rain-Thunderstorm","176<br />","New York City (USA)","Summer"
"24081",2014-07-04,"76","71","66","69","63","51","93","71","49","30.01","29.95","29.88","10","9","6","31","15","41","0.32","7","Rain","351<br />","New York City (USA)","Summer"
"24082",2014-07-05,"84","75","65","58","48","46","57","42","27","30.15","30.10","30.01","10","10","10","25","14","31","0.00","1","","287<br />","New York City (USA)","Summer"
"24083",2014-07-06,"83","75","66","65","59","52","79","58","36","30.11","30.04","29.95","10","10","10","23","13","29","0.00","3","","219<br />","New York City (USA)","Summer"
"24084",2014-07-07,"83","77","70","67","65","62","79","69","58","29.95","29.85","29.76","10","10","10","21","12","25","0.00","4","","200<br />","New York City (USA)","Summer"
"24085",2014-07-08,"88","80","72","69","67","64","84","69","53","29.85","29.79","29.70","10","10","9","32","15","45","T","6","","203<br />","New York City (USA)","Summer"
"24086",2014-07-09,"84","78","71","68","66","64","84","70","55","29.96","29.88","29.80","10","10","10","22","12","28","0.01","5","","210<br />","New York City (USA)","Summer"
"24087",2014-07-10,"85","78","71","68","63","58","79","61","43","30.15","30.07","29.96","10","10","6","15","6","18","0.03","6","Rain-Thunderstorm","76<br />","New York City (USA)","Summer"
"24088",2014-07-11,"85","76","67","66","61","51","87","60","32","30.23","30.19","30.13","10","10","7","15","7","22","0.00","4","","111<br />","New York City (USA)","Summer"
"24089",2014-07-12,"82","74","66","68","65","60","97","74","51","30.25","30.21","30.15","10","8","1","20","10","25","0.00","4","Fog","177<br />","New York City (USA)","Summer"
"24090",2014-07-13,"80","75","69","70","68","67","97","86","74","30.15","30.04","29.92","10","10","8","29","16","37","0.06","6","Rain","184<br />","New York City (USA)","Summer"
"24091",2014-07-14,"83","77","70","72","70","67","93","79","65","29.96","29.90","29.84","10","8","2","21","7","25","1.87","7","Rain-Thunderstorm","177<br />","New York City (USA)","Summer"
"24092",2014-07-15,"82","76","69","73","70","68","97","88","79","29.82","29.79","29.76","10","5","0","17","7","22","1.03","8","Rain-Thunderstorm","175<br />","New York City (USA)","Summer"
"24093",2014-07-16,"83","77","70","70","63","51","93","64","34","29.89","29.81","29.76","10","10","3","18","9","23","0.01","7","Rain","234<br />","New York City (USA)","Summer"
"24094",2014-07-17,"82","75","67","61","56","52","68","54","39","30.11","29.98","29.88","10","10","10","15","9","20","0.00","5","","281<br />","New York City (USA)","Summer"
"24095",2014-07-18,"84","75","65","60","52","42","78","52","26","30.24","30.20","30.12","10","10","10","16","7","24","0.00","4","","16<br />","New York City (USA)","Summer"
"24096",2014-07-19,"79","74","68","59","56","52","68","56","43","30.26","30.22","30.19","10","10","10","15","7","25","0.00","7","","73<br />","New York City (USA)","Summer"
"24097",2014-07-20,"78","73","68","63","60","57","76","66","56","30.18","30.14","30.11","10","10","10","20","9","23","T","6","Rain","75<br />","New York City (USA)","Summer"
"24098",2014-07-21,"83","74","65","66","62","56","84","62","40","30.21","30.18","30.14","10","10","10","14","7","22","0.00","3","","167<br />","New York City (USA)","Summer"
"24099",2014-07-22,"84","76","68","67","65","61","78","68","58","30.19","30.14","30.07","10","10","10","25","13","33","0.00","2","","215<br />","New York City (USA)","Summer"
"24100",2014-07-23,"83","77","71","72","68","60","79","72","64","30.05","29.91","29.79","10","10","4","28","13","35","0.02","4","Rain-Thunderstorm","207<br />","New York City (USA)","Summer"
"24101",2014-07-24,"83","78","72","72","61","53","82","61","40","29.91","29.85","29.80","10","10","10","20","11","26","0.00","7","Rain","354<br />","New York City (USA)","Summer"
"24102",2014-07-25,"83","75","67","64","56","49","73","52","31","30.03","29.99","29.92","10","10","10","16","10","21","0.00","3","","325<br />","New York City (USA)","Summer"
"24103",2014-07-26,"81","75","69","69","63","58","87","73","58","30.02","29.97","29.92","10","10","10","18","10","23","0.09","5","Rain","212<br />","New York City (USA)","Summer"
"24104",2014-07-27,"84","78","71","72","70","67","90","78","65","29.91","29.77","29.67","10","10","10","22","12","25","0.01","6","Rain","194<br />","New York City (USA)","Summer"
"24105",2014-07-28,"84","77","69","72","65","57","90","67","44","29.69","29.59","29.53","10","9","6","31","16","39","0.51","5","Rain-Thunderstorm","223<br />","New York City (USA)","Summer"
"24106",2014-07-29,"79","72","64","56","51","46","68","50","32","29.98","29.87","29.71","10","10","10","21","11","28","0.00","4","","308<br />","New York City (USA)","Summer"
"24107",2014-07-30,"80","72","64","63","54","48","73","54","35","30.06","30.02","29.97","10","10","10","20","9","23","0.00","3","","211<br />","New York City (USA)","Summer"
"24108",2014-07-31,"82","74","65","68","61","56","84","65","45","30.16","30.11","30.06","10","10","10","23","12","28","0.00","4","","202<br />","New York City (USA)","Summer"
"24109",2014-08-01,"82","77","71","70","68","66","93","78","62","30.23","30.20","30.17","10","10","9","18","8","23","T","7","Rain","187<br />","New York City (USA)","Summer"
"24110",2014-08-02,"76","71","65","68","63","60","93","77","60","30.21","30.15","30.11","10","9","5","18","8","24","0.40","8","Rain","44<br />","New York City (USA)","Summer"
"24111",2014-08-03,"78","72","66","66","64","61","93","79","64","30.13","30.10","30.05","10","10","6","10","5","13","0.09","7","Rain","114<br />","New York City (USA)","Summer"
"24112",2014-08-04,"81","76","70","70","67","66","87","75","62","30.09","30.06","30.04","10","10","10","21","10","24","0.00","6","","215<br />","New York City (USA)","Summer"
"24113",2014-08-05,"85","78","70","70","67","64","90","71","51","30.05","29.99","29.91","10","10","10","18","8","22","0.00","3","","208<br />","New York City (USA)","Summer"
"24114",2014-08-06,"85","78","71","65","60","54","79","57","34","29.91","29.88","29.83","10","10","10","24","9","30","T","5","Rain","335<br />","New York City (USA)","Summer"
"24115",2014-08-07,"86","77","67","57","51","45","63","45","27","30.02","29.94","29.90","10","10","10","24","11","31","0.00","2","","335<br />","New York City (USA)","Summer"
"24116",2014-08-08,"84","75","65","64","53","45","73","50","26","30.10","30.06","30.02","10","10","10","16","6","21","0.00","4","","319<br />","New York City (USA)","Summer"
"24117",2014-08-09,"86","76","66","62","57","48","73","51","29","30.13","30.10","30.07","10","10","10","15","7","18","0.00","2","","316<br />","New York City (USA)","Summer"
"24118",2014-08-10,"87","78","68","66","59","52","79","55","30","30.15","30.12","30.10","10","10","10","14","7","16","0.00","3","","228<br />","New York City (USA)","Summer"
"24119",2014-08-11,"84","76","67","67","63","57","84","62","40","30.16","30.14","30.11","10","10","10","14","8","17","0.00","4","","177<br />","New York City (USA)","Summer"
"24120",2014-08-12,"80","76","72","71","67","64","87","77","67","30.10","30.01","29.87","10","10","7","32","15","40","0.34","8","Rain","131<br />","New York City (USA)","Summer"
"24121",2014-08-13,"85","77","68","72","67","60","93","72","51","29.86","29.72","29.66","10","8","2","35","14","41","2.92","7","Rain","336<br />","New York City (USA)","Summer"
"24122",2014-08-14,"80","73","65","59","52","47","70","51","32","29.89","29.85","29.79","10","10","10","21","13","25","0.00","3","","276<br />","New York City (USA)","Summer"
"24123",2014-08-15,"76","69","62","56","48","44","61","50","38","29.99","29.94","29.89","10","10","10","20","11","23","0.00","5","","289<br />","New York City (USA)","Summer"
"24124",2014-08-16,"77","70","63","64","56","50","79","59","39","30.03","29.98","29.93","10","10","10","17","10","21","0.00","5","","217<br />","New York City (USA)","Summer"
